probe_set_id,genechip_array,species_scientific_name,annotation_date,sequence_type,sequence_source,transcript_id,target_description,representative_public_id,archival_unigene_cluster,unigene_id,genome_version,alignments,gene_symbol,chromosomal_location,unigene_cluster_type,ensembl,entrez_gene,ec,omim,refseq_protein_id,refseq_transcript_id,flybase,agi,wormbase,mgi_name,rgd_name,sgd_accession_number,qtl,annotation_description,gene_title_des
1552327_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.399873.1,"gb:NM_152583.1 /DB_XREF=gi:22749204 /TID=Hs2.399873.1 /CNT=11 /FEA=FLmRNA /TIER=FL+Stack /STK=8 /LL=158947 /UG_GENE=MGC40053 /UG=Hs.399873 /UG_TITLE=hypothetical protein MGC40053 /DEF=Homo sapiens hypothetical protein MGC40053 (MGC40053), mRNA. /FL=gb:NM_152583.1",NM_152583,Hs.399873,Hs.399873,March 2006 (NCBI Build 36.1),---,ARMCX4,chrXq22.1,full length,---,158947,---,---,NP_689796.2,NM_152583,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 1 transcripts. // false // Matching Probes // A,"armadillo repeat containing, X-linked 4"
1552329_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.374853.1,"gb:BC029352.1 /DB_XREF=gi:20810414 /TID=Hs2.374853.1 /CNT=35 /FEA=FLmRNA /TIER=FL /STK=7 /LL=283886 /UG_GENE=MY038 /UG=Hs.374853 /DEF=Homo sapiens, hypothetical brain protein my038, clone MGC:32516 IMAGE:4593989, mRNA, complete cds. /PROD=hypothetical brain protein my038 /FL=gb:NM_032626.2 gb:BC029352.1",BC029352,Hs.374853,Hs.188553,March 2006 (NCBI Build 36.1),chr16:24459317-24468223 (+) // 96.35 // p12.1,RBBP6,chr16p12.2,full length,---,5930,---,600938,NP_008841.2 /// NP_061173.1 /// NP_116015.2,NM_006910 /// NM_018703 /// NM_032626,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 1 transcripts. // false // Matching Probes // A,retinoblastoma binding protein 6
1552330_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.114318.1,"gb:NM_145039.1 /DB_XREF=gi:21450791 /TID=Hs2.114318.1 /CNT=37 /FEA=FLmRNA /TIER=FL /STK=7 /LL=92806 /UG_GENE=MGC16385 /UG=Hs.114318 /UG_TITLE=hypothetical protein MGC16385 /DEF=Homo sapiens hypothetical protein MGC16385 (MGC16385), mRNA. /FL=gb:NM_145039.1 gb:BC009263.1",NM_145039,Hs.114318,Hs.513832,March 2006 (NCBI Build 36.1),chr16:88098575-88566716 (-) // 54.39 // q24.3,MGC16385,chr16q24.3,full length,---,92806,---,---,NP_659476.2 /// XP_001128698.1,NM_145039 /// XM_001128698,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 1 transcripts. // false // Matching Probes // A,hypothetical protein MGC16385
1552332_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.40342.1,"gb:NM_138632.1 /DB_XREF=gi:20336762 /GEN=HRIHFB2122 /TID=Hs2.40342.1 /CNT=22 /FEA=FLmRNA /TIER=FL /STK=7 /LL=11078 /UG=Hs.40342 /DEF=Homo sapiens Tara-like protein (HRIHFB2122), transcript variant 2, mRNA. /PROD=Tara-like protein isoform 2 /FL=gb:NM_138632.1",NM_138632,Hs.40342,Hs.533030,March 2006 (NCBI Build 36.1),chr22:36472192-36486189 (+) // 54.41 // q13.1,TRIOBP,chr22q13.1,full length,---,11078,---,609761 /// 609823,NP_001034230.1 /// NP_008963.3 /// NP_619538.2,NM_001039141 /// NM_007032 /// NM_138632,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 1 transcripts. // false // Matching Probes // A,TRIO and F-actin binding protein
1552334_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.40342.1,gb:BG571343 /DB_XREF=gi:13578996 /DB_XREF=602592611F1 /CLONE=IMAGE:4720106 /TID=Hs2.40342.1 /CNT=22 /FEA=FLmRNA /TIER=ConsEnd /STK=0 /LL=11078 /UG_GENE=HRIHFB2122 /UG=Hs.40342 /UG_TITLE=Tara-like protein /FL=gb:NM_138632.1,BG571343,Hs.40342,Hs.533030,March 2006 (NCBI Build 36.1),chr22:36472192-36486189 (+) // 54.41 // q13.1,TRIOBP,chr22q13.1,full length,---,11078,---,609761 /// 609823,NP_001034230.1 /// NP_008963.3 /// NP_619538.2,NM_001039141 /// NM_007032 /// NM_138632,---,---,---,---,---,---,---,This probe set was annotated using the Accession mapped clusters based pipeline to a Entrez Gene identifier using 4 transcripts. // false // Accession mapped clusters // E,TRIO and F-actin binding protein
1552335_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.189105.1,"gb:NM_053054.2 /DB_XREF=gi:26051219 /GEN=CATSPER1 /TID=Hs2.189105.1 /CNT=14 /FEA=FLmRNA /TIER=FL /STK=7 /LL=117144 /UG=Hs.189105 /DEF=Homo sapiens cation channel, sperm associated 1 (CATSPER1), mRNA. /PROD=sperm-associated cation channel 1 /FL=gb:BC032950.1 gb:AF407333.1 gb:NM_053054.2 gb:BC036522.1",NM_053054,Hs.189105,Hs.189105,March 2006 (NCBI Build 36.1),chr11:65540799-65550560 (-) // 93.94 // q13.1,CATSPER1,chr11q12.1,full length,---,117144,---,606389,NP_444282.2,NM_053054,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 1 transcripts. // false // Matching Probes // A,"cation channel, sperm associated 1"
1552337_s_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.278255.1,"gb:NM_014621.2 /DB_XREF=gi:23397671 /GEN=HOXD4 /TID=Hs2.278255.1 /CNT=9 /FEA=FLmRNA /TIER=FL /STK=7 /LL=3233 /UG=Hs.278255 /DEF=Homo sapiens homeo box D4 (HOXD4), mRNA. /PROD=homeo box D4 /FL=gb:NM_014621.2 gb:BC016763.1",NM_014621,Hs.278255,Hs.591609,March 2006 (NCBI Build 36.1),chr2:176724358-176726200 (+) // 90.38 // q31.1,HOXD4,chr2q31.1,full length,---,3233,---,142981,NP_055436.2,NM_014621,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 2 transcripts. // false // Matching Probes // A,homeobox D4
1552338_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.437095.1,"gb:AY177407.1 /DB_XREF=gi:27728743 /TID=Hs2.437095.1 /CNT=8 /FEA=FLmRNA /TIER=FL /STK=7 /LL=145258 /UG_GENE=GSC /UG=Hs.437095 /DEF=Homo sapiens homeobox protein goosecoid mRNA, complete cds. /PROD=homeobox protein goosecoid /FL=gb:AY177407.1 gb:NM_173849.1",AY177407,Hs.437095,Hs.440438,March 2006 (NCBI Build 36.1),chr14:94304310-94306252 (-) // 94.25 // q32.13,GSC,chr14q32.1,full length,---,145258,---,138890,NP_776248.1,NM_173849,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 1 transcripts. // false // Matching Probes // A,goosecoid
1552340_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.209402.1,"gb:NM_152860.1 /DB_XREF=gi:22902135 /GEN=SP7 /TID=Hs2.209402.1 /CNT=7 /FEA=FLmRNA /TIER=FL /STK=7 /LL=121340 /UG=Hs.209402 /DEF=Homo sapiens Sp7 transcription factor (SP7), mRNA. /PROD=osterix /FL=gb:NM_152860.1 gb:AF477981.1",NM_152860,Hs.209402,Hs.209402,March 2006 (NCBI Build 36.1),chr12:52006625-52015804 (-) // 94.63 // q13.13,SP7,chr12q13.13,full length,---,121340,---,606633,NP_690599.1,NM_152860,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 1 transcripts. // false // Matching Probes // A,Sp7 transcription factor
1552343_s_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.406325.1,"gb:NM_002604.1 /DB_XREF=gi:24429563 /GEN=PDE7A /TID=Hs2.406325.1 /CNT=30 /FEA=FLmRNA /TIER=FL /STK=6 /LL=5150 /UG=Hs.406325 /DEF=Homo sapiens phosphodiesterase 7A (PDE7A), transcript variant 2, mRNA. /PROD=phosphodiesterase 7A isoform b /FL=gb:NM_002604.1 gb:AF332652.1",NM_002604,Hs.406325,Hs.584788,March 2006 (NCBI Build 36.1),chr8:66796605-66916346 (-) // 79.99 // q13.1,PDE7A,chr8q13,full length,---,5150,---,171885,NP_002594.1 /// NP_002595.1,NM_002603 /// NM_002604,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 1 transcripts. // false // Matching Probes // A,phosphodiesterase 7A
1552344_s_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.380963.2,"gb:NM_054026.1 /DB_XREF=gi:17978499 /GEN=CNOT7 /TID=Hs2.380963.2 /CNT=53 /FEA=FLmRNA /TIER=FL /STK=6 /LL=29883 /UG=Hs.380963 /DEF=Homo sapiens CCR4-NOT transcription complex, subunit 7 (CNOT7), transcript variant 2, mRNA. /PROD=CCR4-NOT transcription complex, subunit 7,isoform 2 /FL=gb:NM_054026.1",NM_054026,Hs.380963,Hs.598387,March 2006 (NCBI Build 36.1),chr8:17132925-17148758 (-) // 90.27 // p22,CNOT7,chr8p22-p21.3,full length,---,29883,---,604913,NP_037486.2 /// NP_473367.2,NM_013354 /// NM_054026,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 1 transcripts. // false // Matching Probes // A,"CCR4-NOT transcription complex, subunit 7"
1552347_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.330208.1,"gb:NM_145311.1 /DB_XREF=gi:22202613 /GEN=CRYZL1 /TID=Hs2.330208.1 /CNT=19 /FEA=FLmRNA /TIER=FL /STK=6 /LL=9946 /UG=Hs.330208 /DEF=Homo sapiens crystallin, zeta (quinone reductase)-like 1 (CRYZL1), transcript variant 2, mRNA. /PROD=crystallin, zeta-like 1 isoform b /FL=gb:NM_145311.1",NM_145311,Hs.330208,Hs.352671,March 2006 (NCBI Build 36.1),chr21:33888832-33936514 (-) // 76.52 // q22.11,CRYZL1,chr21q21.3,full length,---,9946,---,603920,NP_665857.2,NM_145858,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 3 transcripts. // false // Matching Probes // A,"crystallin, zeta (quinone reductase)-like 1"
1552348_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.280658.1,"gb:NM_152891.1 /DB_XREF=gi:23097243 /GEN=EOS /TID=Hs2.280658.1 /CNT=19 /FEA=FLmRNA /TIER=FL /STK=6 /LL=260429 /UG=Hs.280658 /DEF=Homo sapiens serine protease EOS (EOS), mRNA. /PROD=serine protease EOS /FL=gb:NM_152891.1 gb:AF536382.1",NM_152891,Hs.280658,Hs.280658,March 2006 (NCBI Build 36.1),chr16:2773955-2776607 (-) // 69.5 // p13.3,PRSS33,chr16p13.3,full length,ENSG00000103355,260429,---,---,NP_690851.2,NM_152891,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 2 transcripts. // false // Matching Probes // A,"protease, serine, 33"
1552349_a_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.280658.1,"gb:NM_152891.1 /DB_XREF=gi:23097243 /GEN=EOS /TID=Hs2.280658.1 /CNT=19 /FEA=FLmRNA /TIER=FL /STK=6 /LL=260429 /UG=Hs.280658 /DEF=Homo sapiens serine protease EOS (EOS), mRNA. /PROD=serine protease EOS /FL=gb:NM_152891.1 gb:AF536382.1",NM_152891,Hs.280658,Hs.280658,March 2006 (NCBI Build 36.1),chr16:2773955-2776607 (-) // 69.5 // p13.3,PRSS33,chr16p13.3,full length,ENSG00000103355,260429,---,---,NP_690851.2,NM_152891,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 2 transcripts. // false // Matching Probes // A,"protease, serine, 33"
1552354_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.346575.1,"gb:NM_152769.1 /DB_XREF=gi:22749502 /TID=Hs2.346575.1 /CNT=13 /FEA=FLmRNA /TIER=FL /STK=6 /LL=255057 /UG_GENE=MGC40084 /UG=Hs.346575 /UG_TITLE=hypothetical protein MGC40084 /DEF=Homo sapiens hypothetical protein MGC40084 (MGC40084), mRNA. /FL=gb:NM_152769.1 gb:BC028156.1",NM_152769,Hs.346575,Hs.346575,March 2006 (NCBI Build 36.1),chr19:1180946-1189026 (-) // 95.1 // p13.3,C19orf26,chr19p13.3,full length,---,255057,---,---,NP_689982.1,NM_152769,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 1 transcripts. // false // Matching Probes // A,chromosome 19 open reading frame 26
1552355_s_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.346575.1,"gb:NM_152769.1 /DB_XREF=gi:22749502 /TID=Hs2.346575.1 /CNT=13 /FEA=FLmRNA /TIER=FL /STK=6 /LL=255057 /UG_GENE=MGC40084 /UG=Hs.346575 /UG_TITLE=hypothetical protein MGC40084 /DEF=Homo sapiens hypothetical protein MGC40084 (MGC40084), mRNA. /FL=gb:NM_152769.1 gb:BC028156.1",NM_152769,Hs.346575,Hs.346575,March 2006 (NCBI Build 36.1),chr19:1180946-1189026 (-) // 95.1 // p13.3,C19orf26,chr19p13.3,full length,---,255057,---,---,NP_689982.1,NM_152769,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 1 transcripts. // false // Matching Probes // A,chromosome 19 open reading frame 26
1552359_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.432512.1,gb:AL833526.1 /DB_XREF=gi:21734170 /TID=Hs2.432512.1 /CNT=10 /FEA=FLmRNA /TIER=ConsEnd /STK=0 /LL=157777 /UG_GENE=FLJ25692 /UG=Hs.432512 /UG_TITLE=hypothetical protein FLJ25692 /DEF=Homo sapiens mRNA; cDNA DKFZp686J2237 (from clone DKFZp686J2237). /FL=gb:NM_173518.1,AL833526,Hs.432512,Hs.437006,March 2006 (NCBI Build 36.1),chr8:67945537-67996836 (+) // 82.05 // q13.1,C8orf45,chr8q13.1,full length,---,157777,---,---,NP_775789.2,NM_173518,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a UniGene identifier using 1 transcripts. // false // Matching Probes // A,Chromosome 8 open reading frame 45
1552360_a_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.17681.1,"gb:NM_052887.2 /DB_XREF=gi:22547217 /GEN=TIRAP /TID=Hs2.17681.1 /CNT=48 /FEA=FLmRNA /TIER=FL /STK=5 /LL=114609 /UG=Hs.17681 /DEF=Homo sapiens Toll-interleukin 1 receptor (TIR) domain-containing adapter protein (TIRAP), transcript variant 1, mRNA. /PROD=Toll-interleukin 1 receptor (TIR)domain-containing adapter protein isoform a /FL=gb:AF410783.1 gb:NM_052887.2",NM_052887,Hs.17681,Hs.537126,March 2006 (NCBI Build 36.1),chr11:125658211-125672618 (+) // 69.41 // q24.2,TIRAP,chr11q24.2,full length,---,114609,---,606252,NP_001034750.1 /// NP_683708.1,NM_001039661 /// NM_148910,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 1 transcripts. // false // Matching Probes // A,toll-interleukin 1 receptor (TIR) domain containing adaptor protein
1552362_a_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.337588.1,"gb:NM_052971.1 /DB_XREF=gi:16418464 /GEN=LEAP-2 /TID=Hs2.337588.1 /CNT=24 /FEA=FLmRNA /TIER=FL /STK=5 /LL=116842 /UG=Hs.337588 /DEF=Homo sapiens liver-expressed antimicrobial peptide 2 (LEAP-2), mRNA. /PROD=liver-expressed antimicrobial peptide 2precursor /FL=gb:NM_052971.1",NM_052971,Hs.337588,Hs.337588,March 2006 (NCBI Build 36.1),chr5:132235389-132238595 (+) // 96.62 // q31.1,LEAP2,chr5q31.1,full length,---,116842,---,---,NP_443203.1,NM_052971,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 3 transcripts. // false // Matching Probes // A,liver expressed antimicrobial peptide 2
1552364_s_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.103512.1,"gb:BC001526.1 /DB_XREF=gi:16306701 /TID=Hs2.103512.1 /CNT=32 /FEA=FLmRNA /TIER=FL /STK=5 /LL=124540 /UG_GENE=MSI2 /UG=Hs.103512 /DEF=Homo sapiens, clone MGC:3245 IMAGE:3505639, mRNA, complete cds. /PROD=Unknown (protein for MGC:3245) /FL=gb:NM_138962.2 gb:BC001526.1",BC001526,Hs.103512,Hs.658922,March 2006 (NCBI Build 36.1),chr17:52688893-53112694 (+) // 95.65 // q22,MSI2,chr17q22,full length,---,124540,---,607897,NP_620412.1 /// NP_733839.1,NM_138962 /// NM_170721,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 1 transcripts. // false // Matching Probes // A,musashi homolog 2 (Drosophila)
1552365_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.210473.1,"gb:NM_033128.1 /DB_XREF=gi:14916472 /GEN=SCIN /TID=Hs2.210473.1 /CNT=44 /FEA=FLmRNA /TIER=FL /STK=5 /LL=85477 /UG=Hs.210473 /DEF=Homo sapiens scinderin (SCIN), mRNA. /PROD=scinderin /FL=gb:NM_033128.1 gb:AF276507.1 gb:BC021090.1",NM_033128,Hs.210473,Hs.655515,March 2006 (NCBI Build 36.1),chr7:12576536-12659753 (+) // 90.08 // p21.3,SCIN,chr7p21.3,full length,---,85477,---,---,NP_149119.1,NM_033128,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 1 transcripts. // false // Matching Probes // A,scinderin
1552367_a_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.210473.1,"gb:AF276507.1 /DB_XREF=gi:14331130 /TID=Hs2.210473.1 /CNT=44 /FEA=FLmRNA /TIER=FL /STK=2 /LL=85477 /UG_GENE=SCIN /UG=Hs.210473 /DEF=Homo sapiens scinderin mRNA, complete cds. /PROD=scinderin /FL=gb:NM_033128.1 gb:AF276507.1 gb:BC021090.1",AF276507,Hs.210473,Hs.655515,March 2006 (NCBI Build 36.1),chr7:12576536-12659753 (+) // 90.08 // p21.3,SCIN,chr7p21.3,full length,ENSG00000006747,85477,---,---,NP_149119.1,NM_033128,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 2 transcripts. // false // Matching Probes // A,scinderin
1552368_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.131543.1,"gb:NM_080618.1 /DB_XREF=gi:27501459 /GEN=CTCFL /TID=Hs2.131543.1 /CNT=33 /FEA=FLmRNA /TIER=FL /STK=5 /LL=140690 /UG=Hs.131543 /DEF=Homo sapiens CCCTC-binding factor (zinc finger protein)-like (CTCFL), mRNA. /PROD=CCCTC-binding factor (zinc finger protein)-like /FL=gb:AF336042.1 gb:NM_080618.1 gb:AY071919.1",NM_080618,Hs.131543,Hs.131543,March 2006 (NCBI Build 36.1),chr20:55505633-55533564 (-) // 97.85 // q13.31,CTCFL,chr20q13.31,full length,---,140690,---,607022,NP_542185.2,NM_080618,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 3 transcripts. // false // Matching Probes // A,CCCTC-binding factor (zinc finger protein)-like
1552370_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.128777.1,"gb:NM_173487.1 /DB_XREF=gi:27735074 /TID=Hs2.128777.1 /CNT=35 /FEA=FLmRNA /TIER=FL /STK=5 /LL=132321 /UG_GENE=LOC132321 /UG=Hs.128777 /UG_TITLE=hypothetical protein LOC132321 /DEF=Homo sapiens hypothetical protein LOC132321 (LOC132321), mRNA. /FL=gb:BC032582.1 gb:NM_173487.1",NM_173487,Hs.128777,Hs.567679,March 2006 (NCBI Build 36.1),chr4:130234289-130253932 (+) // 71.86 // q28.2,C4orf33,chr4q28.2,full length,---,132321,---,---,NP_775758.1,NM_173487,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 2 transcripts. // false // Matching Probes // A,chromosome 4 open reading frame 33
1552372_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.128777.1,"gb:BC016358.1 /DB_XREF=gi:18921427 /TID=Hs2.128777.1 /CNT=35 /FEA=FLmRNA /TIER=ConsEnd /STK=0 /LL=132321 /UG_GENE=LOC132321 /UG=Hs.128777 /UG_TITLE=hypothetical protein LOC132321 /DEF=Homo sapiens, clone IMAGE:4095238, mRNA. /FL=gb:BC032582.1 gb:NM_173487.1",BC016358,Hs.128777,Hs.567679,March 2006 (NCBI Build 36.1),chr4:130234289-130253932 (+) // 71.86 // q28.2,C4orf33,chr4q28.2,full length,---,132321,---,---,NP_775758.1,NM_173487,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 1 transcripts. // false // Matching Probes // A,chromosome 4 open reading frame 33
1552440_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.16743.1,"gb:BC034761.1 /DB_XREF=gi:21961319 /TID=Hs2.16743.1 /CNT=9 /FEA=FLmRNA /TIER=FL /STK=4 /LL=11318 /UG_GENE=ADMR /UG=Hs.16743 /DEF=Homo sapiens, adrenomedullin receptor, clone MGC:34399 IMAGE:5185932, mRNA, complete cds. /PROD=adrenomedullin receptor /FL=gb:BC034761.1 gb:NM_007264.2",BC034761,Hs.16743,Hs.483909,March 2006 (NCBI Build 36.1),chr12:55674496-55676735 (+) // 97.08 // q13.3,ADMR,chr12q13.3,full length,---,11318,---,605307,NP_009195.1,NM_007264,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 1 transcripts. // false // Matching Probes // A,adrenomedullin receptor
1552445_a_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.223782.1,"gb:NM_153448.1 /DB_XREF=gi:23592227 /GEN=ESX1L /TID=Hs2.223782.1 /CNT=7 /FEA=FLmRNA /TIER=FL /STK=4 /LL=80712 /UG=Hs.223782 /DEF=Homo sapiens extraembryonic, spermatogenesis, homeobox 1-like (ESX1L), mRNA. /PROD=extraembryonic, spermatogenesis, homeobox1-like /FL=gb:NM_153448.1 gb:AY114148.1",NM_153448,Hs.223782,Hs.223782,March 2006 (NCBI Build 36.1),chrX:103381377-103386270 (-) // 92.96 // q22.2,ESX1,chrXq22.1,full length,---,80712,---,300154,NP_703149.1,NM_153448,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 2 transcripts. // false // Matching Probes // A,"extraembryonic, spermatogenesis, homeobox 1 homolog (mouse)"
1552448_a_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.165742.1,"gb:NM_054017.2 /DB_XREF=gi:24475742 /GEN=C8orf12 /TID=Hs2.165742.1 /CNT=6 /FEA=FLmRNA /TIER=FL /STK=4 /LL=83656 /UG=Hs.165742 /DEF=Homo sapiens chromosome 8 open reading frame 12 (C8orf12), mRNA. /PROD=chromosome 8 open reading frame 12 /FL=gb:NM_054017.2",NM_054017,Hs.165742,---,March 2006 (NCBI Build 36.1),chr8:11263320-11333577 (+) // 67.1 // p23.1,C8orf12,chr8p23-p22,---,---,83656,---,---,---,---,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 2 transcripts. // false // Matching Probes // A,chromosome 8 open reading frame 12
1552449_a_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.127059.1,"gb:NM_145651.1 /DB_XREF=gi:21717813 /GEN=RYD5 /TID=Hs2.127059.1 /CNT=6 /FEA=FLmRNA /TIER=FL /STK=4 /LL=147199 /UG=Hs.127059 /DEF=Homo sapiens putative ligand binding protein RYD5 (RYD5), mRNA. /PROD=putative ligand binding protein RYD5 /FL=gb:NM_145651.1 gb:AY026938.1",NM_145651,Hs.127059,Hs.127059,March 2006 (NCBI Build 36.1),chr11:183079-184574 (+) // 97.29 // p15.5 /// chr17_random:674107-675630 (-) // 97.29 //,hCG_1741344 /// SCGB1C1,chr11p15.5,full length,ENSG00000188076,147199 /// 653486,---,610176,NP_001091079.1 /// NP_663626.1 /// XP_932732.1,NM_001097610 /// NM_145651 /// XM_927639,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 2 transcripts. // true // Matching Probes // A,"secretoglobin, family 1C, member 1 /// similar to secretoglobin, family 1C, member 1"
1552450_a_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.116303.1,"gb:NM_173650.1 /DB_XREF=gi:27735106 /TID=Hs2.116303.1 /CNT=8 /FEA=FLmRNA /TIER=FL /STK=4 /LL=285126 /UG_GENE=FLJ40417 /UG=Hs.116303 /UG_TITLE=hypothetical protein FLJ40417 /DEF=Homo sapiens hypothetical protein FLJ40417 (FLJ40417), mRNA. /FL=gb:NM_173650.1",NM_173650,Hs.116303,Hs.116303,March 2006 (NCBI Build 36.1),chr2:27351792-27357800 (+) // 89.12 // p23.3,DNAJC5G,chr2p23.3,full length,---,285126,---,---,NP_775921.1,NM_173650,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 1 transcripts. // false // Matching Probes // A,"DnaJ (Hsp40) homolog, subfamily C, member 5 gamma"
